CreateMeshBuilder,
AddVertex,-5.0, 4.5, -0.0
AddVertex,-5.0, 4.5, -6.0
AddVertex, 0.0, 4.5, -6.0
AddVertex, 0.0, 4.5, 0.0
AddVertex, 0.0,-0.18, 0.0
AddVertex, 0.0,-0.18, -6.0
AddVertex,-5.0,-0.18, -6.0
AddVertex,-5.0,-0.18, -0.0
AddFace,0,1,6,7
AddFace,1,2,5,6
AddFace,2,3,4,5
LoadTexture,iwaent.bmp
SetTextureCoordinates,0,-1,0,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,2,0,
SetTextureCoordinates,4,2,1,
SetTextureCoordinates,5,1,1,
SetTextureCoordinates,6,0,1,
SetTextureCoordinates,7,-1,1,
GenerateNormals,
