
;í›ñ_
CreateMeshBuilder,,
Cube,0.03,0.25,0.03
SetColor,192,128,0
GenerateNormals,,,
Translate,0,4.75,0

;î‘ê¸ï\é¶
CreateMeshBuilder,,
AddVertex,0.2,4.55,-0.1,,
AddVertex,0.2,4.15,-0.1,,
AddVertex,-0.2,4.15,-0.1,,
AddVertex,-0.2,4.55,-0.1,,
AddFace,0,1,2,3,
GenerateNormals,,,
LoadTexture,06.bmp,
SetTextureCoordinates,0,1,0,
SetTextureCoordinates,1,1,1,
SetTextureCoordinates,2,0,1,
SetTextureCoordinates,3,0,0,

;î‘ê¸òg
CreateMeshBuilder,,
AddVertex,0.2,4.55,-0.1,,;0
AddVertex,0.2,4.15,-0.1,,;1
AddVertex,-0.2,4.15,-0.1,,;2
AddVertex,-0.2,4.55,-0.1,,;3
AddVertex,0.2,4.55,0.1,,;4
AddVertex,0.2,4.15,0.1,,;5
AddVertex,-0.2,4.15,0.1,,;6
AddVertex,-0.2,4.55,0.1,,;7
AddFace,4,5,1,0,
AddFace,3,2,6,7,
AddFace,4,0,3,7,
AddFace,6,2,1,5,
AddFace,7,6,5,4,
SetColor,192,128,0
GenerateNormals,,,
