;道床・枕木,,,
CreateMeshBuilder,,,
AddVertex,3.95,-0.75,25.1
AddVertex,1.05,-0.15,25.1
AddVertex,-1.05,-0.16,25.1
AddVertex,4.0246,-0.75,20.0914
AddVertex,1.126,-0.15,20.0032
AddVertex,-0.9731,-0.16,19.9394
AddVertex,4.2484,-0.75,15.1873
AddVertex,1.3538,-0.15,15.011
AddVertex,-0.7423,-0.16,14.8834
AddVertex,4.6212,-0.75,10.2923
AddVertex,1.7333,-0.15,10.0281
AddVertex,-0.358,-0.16,9.8368
AddVertex,5.1426,-0.75,5.4108
AddVertex,2.2641,-0.15,5.059
AddVertex,0.1796,-0.16,4.8042,
AddVertex,5.812,-0.75,0.5487,
AddVertex,2.9455,-0.15,0.1096,
AddVertex,0.8697,-0.16,-0.2084,
AddVertex,7.0083,-0.75,-7.2602,
AddVertex,3.7026,-0.15,-4.8328,
AddVertex,1.6268,-0.16,-5.1508,
AddFace,3,4,1,0
AddFace,4,5,2,1
AddFace,6,7,4,3
AddFace,7,8,5,4
AddFace,9,10,7,6
AddFace,10,11,8,7
AddFace,12,13,10,9
AddFace,13,14,11,10
AddFace,15,16,13,12
AddFace,16,17,14,13
AddFace,18,19,16,15
AddFace,19,20,17,16
GenerateNormals,,,,
LoadTexture,Nefu.bmp,,,
SetTextureCoordinates,0,1,0,
SetTextureCoordinates,1,0.643,0,
SetTextureCoordinates,2,0.36,0,
SetTextureCoordinates,3,1,1.6,
SetTextureCoordinates,4,0.643,1.6,
SetTextureCoordinates,5,0.36,1.6,
SetTextureCoordinates,6,1,3.2,
SetTextureCoordinates,7,0.643,3.2,
SetTextureCoordinates,8,0.36,3.2,
SetTextureCoordinates,9,1,4.8,
SetTextureCoordinates,10,0.643,4.8,
SetTextureCoordinates,11,0.36,4.8
SetTextureCoordinates,12,1,6.4
SetTextureCoordinates,13,0.643,6.4
SetTextureCoordinates,14,0.36,6.4
SetTextureCoordinates,15,1,8
SetTextureCoordinates,16,0.643,8
SetTextureCoordinates,17,0.36,8
SetTextureCoordinates,18,1,10.528
SetTextureCoordinates,19,0.643,9.6
SetTextureCoordinates,20,0.36,9.6

CreateMeshBuilder,,,
AddVertex,-1.9969,-0.75,-0.6476
AddVertex,0.8697,-0.16,-0.2084
AddVertex,-0.8006,-0.75,-8.4565
AddVertex,1.6268,-0.16,-5.1508
AddVertex,7.0083,-0.75,-7.2602,
AddVertex,3.7026,-0.15,-4.8328,
AddFace,0,1,3,2
AddFace,2,3,5,4
GenerateNormals,,,,
LoadTexture,Nefu.bmp,,,
SetTextureCoordinates,0,1,2.528,
SetTextureCoordinates,1,0.643,2.528,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,0.643,0.928,
SetTextureCoordinates,4,1,2.528,
SetTextureCoordinates,5,0.643,1.6,

;レール踏面,,,,
CreateMeshBuilder,,,,
AddVertex,0.7715,0,17.526,
AddVertex,0.7036,0,17.523
AddVertex,0.8387,0,14.9797
AddVertex,0.9066,0,14.9838
AddVertex,1.2871,0,9.9873
AddVertex,1.2194,0,9.9811
AddVertex,1.7519,0,4.9964
AddVertex,1.8194,0,5.0047
AddVertex,2.5026,0,0.0417
AddVertex,2.4354,0,0.0314
AddVertex,3.1925,0,-4.9109
AddVertex,3.2598,0,-4.9006
AddVertex,0.602,0,5.0415
AddVertex,0.602,0,5.6153
AddVertex,0.6918,0,4.8668
AddVertex,0.6243,0,4.8586
AddVertex,1.3125,0,-0.1406
AddVertex,1.3797,0,-0.1303,
AddVertex,2.1369,0,-5.0726,
AddVertex,2.0696,0,-5.0829,
AddFace,3,2,1,0
AddFace,2,3,4,5
AddFace,7,6,5,4
AddFace,6,7,8,9
AddFace,11,10,9,8
AddFace,12,13,14,15
AddFace,17,16,15,14
AddFace,16,17,18,19
GenerateNormals,,,,
LoadTexture,Top_R.bmp,,,
SetTextureCoordinates,0,0.93,0,
SetTextureCoordinates,1,0.07,0,
SetTextureCoordinates,2,0.07,1,
SetTextureCoordinates,3,0.93,1
SetTextureCoordinates,4,0.93,2
SetTextureCoordinates,5,0.07,2
SetTextureCoordinates,6,0.07,3
SetTextureCoordinates,7,0.93,3
SetTextureCoordinates,8,0.93,4
SetTextureCoordinates,9,0.07,4
SetTextureCoordinates,10,0.07,5
SetTextureCoordinates,11,0.93,5
SetTextureCoordinates,12,0.93,0.98
SetTextureCoordinates,13,0.07,0.925
SetTextureCoordinates,14,0.07,1
SetTextureCoordinates,15,0.93,1
SetTextureCoordinates,16,0.93,2
SetTextureCoordinates,17,0.07,2
SetTextureCoordinates,18,0.07,3
SetTextureCoordinates,19,0.93,3,

;レール踏面（ウイング部）,,,,
CreateMeshBuilder,,,,
AddVertex,-0.3656,0,17.526,
AddVertex,-0.4335,0,17.523,
AddVertex,-0.2952,0,14.9107,
AddVertex,-0.2273,0,14.9148,
AddVertex,0.1559,0,9.8838,
AddVertex,0.0881,0,9.8776,
AddVertex,0.381,0,6.96,
AddVertex,0.449,0,6.9637,
AddVertex,0.449,0,6,
AddVertex,0.381,0,6,
AddFace,3,2,1,0
AddFace,2,3,4,5
AddFace,7,6,5,4
AddFace,6,7,8,9
GenerateNormals,,,,
LoadTexture,Top_R.bmp,,,
SetTextureCoordinates,0,0.07,0,
SetTextureCoordinates,1,0.93,0,
SetTextureCoordinates,2,0.93,1,
SetTextureCoordinates,3,0.07,1,
SetTextureCoordinates,4,0.07,2,
SetTextureCoordinates,5,0.93,2,
SetTextureCoordinates,6,0.93,3,
SetTextureCoordinates,7,0.07,3,
SetTextureCoordinates,8,0.07,4,
SetTextureCoordinates,9,0.93,4,

;レール踏面（トングレール）,,,,
CreateMeshBuilder,,,,
AddVertex,-0.531,0,24,
AddVertex,-0.534,0,24,
AddVertex,-0.534,0,20.2487,
AddVertex,-0.466,0,20.2487,
AddVertex,-0.3661,0,17.536,
AddVertex,-0.434,0,17.533,
AddVertex,0.5335,0.01,23.9999,
AddVertex,0.6045,0.01,24,
AddVertex,0.6188,0.01,22.627,
AddVertex,0.5339,0.01,22.6238,
AddVertex,0.6025,0.01,20.2487,
AddVertex,0.6705,0.01,20.2487,
AddVertex,0.7711,0,17.536,
AddVertex,0.7032,0,17.533,
AddFace,3,2,1,0
AddFace,2,3,4,5
AddFace,6,7,8,9
AddFace,11,10,9,8
AddFace,10,11,12,13
GenerateNormals,,,,
LoadTexture,Top_R.bmp,,,
SetTextureCoordinates,0,0.07,0,
SetTextureCoordinates,1,0.93,0,
SetTextureCoordinates,2,0.93,0.2,
SetTextureCoordinates,3,0.07,0.2,
SetTextureCoordinates,4,0.07,0.4,
SetTextureCoordinates,5,0.93,0.4,
SetTextureCoordinates,6,0.93,0,
