CreateMeshBuilder,,,
AddVertex,-0.45,0,24
AddVertex,-0.53,0,24
AddVertex,0,0.5,24.5
AddVertex,0,0.4,24.5
AddVertex,-0.53,0,24.2
AddVertex,0,0.5,24.7
AddVertex,-0.45,0,25
AddVertex,-0.53,0,25
AddVertex,-0.53,0,24.8
AddVertex,0,0.5,24.7
AddVertex,-0.45,0,24.2
AddVertex,-0.45,0,24.8
AddVertex,0,0.4,24.7
AddVertex,-0.45,0,24.2
AddVertex,0,0.4,24.7
AddVertex,-0.45,0,25,
AddFace2,0,1,2,3
AddFace2,1,4,5,2
AddFace2,11,8,2,3
AddFace2,8,7,5,2
AddFace2,0,3,12,10
AddFace2,11,3,12,6
AddFace2,13,14,9,4
AddFace2,15,14,9,7
Setcolor,80,70,60,
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,0.45,0,24,
AddVertex,0.53,0,24,
AddVertex,0,0.5,24.5,
AddVertex,0,0.4,24.5,
AddVertex,0.53,0,24.2,
AddVertex,0,0.5,24.7,
AddVertex,0.45,0,25,
AddVertex,0.53,0,25,
AddVertex,0.53,0,24.8,
AddVertex,0,0.5,24.7,
AddVertex,0.45,0,24.2,
AddVertex,0.45,0,24.8,
AddVertex,0,0.4,24.7,
AddVertex,0.45,0,24.2,
AddVertex,0,0.4,24.7,
AddVertex,0.45,0,25,
AddFace2,0,1,2,3
AddFace2,1,4,5,2
AddFace2,11,8,2,3
AddFace2,8,7,5,2
AddFace2,0,3,12,10
AddFace2,11,3,12,6
AddFace2,13,14,9,4
AddFace2,15,14,9,7
Setcolor,80,70,60,
GenerateNormals,,,,

CreateMeshBuilder,,,,
Cube,0.1,0.1,0.2,
Setcolor,80,70,60,
translate,0,0.48,24.5,
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,-0.1,1,24.9,
AddVertex,-0.1,1.2,24.9,
AddVertex,0.1,1.2,24.9,
AddVertex,0.1,1,24.9,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,shadome.bmp,,,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,1,1,
SetTextureCoordinates,3,0,1,

CreateMeshBuilder,,,,
Cylinder,6,0.03,0.03,2.3
Translate,0,0,25,
SetColor,140,140,140,

CreateMeshBuilder,,,,
AddVertex,-0.1,1,24.9,
AddVertex,-0.1,1.2,24.9,
AddVertex,0.1,1.2,24.9,
AddVertex,0.1,1,24.9,
AddFace,3,2,1,0
SetColor,140,140,140,
GenerateNormals,,,,
