CreateMeshBuilder,
AddVertex,-0.95, -0.145, -77
AddVertex,-0.95, -0.145, 25.2
AddVertex,0.95, -0.144, 25.2
AddVertex,0.95, -0.144, -77
AddFace,0, 1, 2, 3
GenerateNormals
LoadTexture,tie_c1.bmp
SetTextureCoordinates,0, 0.095, 32
SetTextureCoordinates,1, 0.095, 0
SetTextureCoordinates,2, 0.85, 0
SetTextureCoordinates,3, 0.85, 32

CreateMeshBuilder,,,,
AddVertex,-0.95,-0.149,-77,
AddVertex,-2.5,-0.45,-77,
AddVertex,-2.5,-0.45,25.2,
AddVertex,-0.95,-0.149,25.2,
AddFace,0,1,2,3
GenerateNormals,,,,
Setcolor,170,180,190
LoadTexture,ballast_c.bmp
SetTextureCoordinates,0,0,16,
SetTextureCoordinates,1,1.5,16,
SetTextureCoordinates,2,1.5,0,
SetTextureCoordinates,3,0,0,

CreateMeshBuilder,,,,
AddVertex,0.95,-0.149,-77,
AddVertex,2.5,-0.45,-77,
AddVertex,2.5,-0.45,25.2,
AddVertex,0.95,-0.149,25.2,
AddFace,3,2,1,0
GenerateNormals,,,,
Setcolor,200,210,220
LoadTexture,ballast_c.bmp,,,
SetTextureCoordinates,0,1.5,16,
SetTextureCoordinates,1,0,16,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,1.5,0,

CreateMeshBuilder,
AddVertex,-0.602, 0, -77
AddVertex,-0.602, 0, 25.5
AddVertex,-0.534, 0, 25.5
AddVertex,-0.534, 0, -77
AddFace,0, 1, 2, 3
LoadTexture,Railb.bmp
Setcolor,180,180,180

SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,0,4,
SetTextureCoordinates,2,1,4,
SetTextureCoordinates,3,1,0,
GenerateNormals

CreateMeshBuilder,
AddVertex,0.534, 0, -77
AddVertex,0.534, 0, 25.5
AddVertex,0.602, 0, 25.5
AddVertex,0.602, 0, -77
AddFace,0, 1, 2, 3
LoadTexture,Railb.bmp
Setcolor,180,180,180

SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,0,4,
SetTextureCoordinates,2,1,4,
SetTextureCoordinates,3,1,0,
GenerateNormals


;///// 架　線[シンプルカテナリー] /////
CreateMeshBuilder,
AddVertex,0.012, 5.1, -77,
AddVertex,0.012, 5.1, 25.2,
AddVertex,-0.012, 5.1, 25.2,
AddVertex,-0.012, 5.1, -77,
AddFace2,0,1,2,3,
SetColor,48,40,32,
GenerateNormals,

CreateMeshBuilder,
AddVertex,0.008, 5.7, -77,
AddVertex,0.008, 5.7, 25.2,
AddVertex,-0.008, 5.7, 25.2,
AddVertex,-0.008, 5.7, -77,
AddFace2,0,1,2,3,
SetColor,48,40,32,
GenerateNormals,

CreateMeshBuilder,
AddVertex,-0.568,-0.01,-77.00,
AddVertex,-0.568,-0.01,25.5,
AddVertex,-0.568,-0.13,25.5,
AddVertex,-0.568,-0.13,-77.00,
AddVertex, 0.568,-0.01,-77.00,
AddVertex, 0.568,-0.01,25.5,
AddVertex, 0.568,-0.13,25.5,
AddVertex, 0.568,-0.13,-77.00,
AddFace2,0,1,2,3
AddFace2,4,5,6,7
SetColor,70,41,27
GenerateNormals,
