;;;;;‰º,,,
CreateMeshBuilder,,,
Cube,0.2,0.1,12.5
SetColor,200,210,220
GenerateNormals,,,
Translate,-2.9,-0.3,12.5

CreateMeshBuilder,,,
Cube,0.2,0.1,12.5
SetColor,200,210,220
GenerateNormals,,,
Translate,6.7,-0.3,12.5

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,0.2

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,5

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,10

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,15

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,20

CreateMeshBuilder,,,
Cube,5,0.2,0.2
SetColor,200,210,220
GenerateNormals,,,
Translate,1.9,-0.6,24.8

;;;;;ã,,,
CreateMeshBuilder,,,
Cube,0.2,0.2,10
SetColor,200,210,220
GenerateNormals,,,
Translate,-2.5,6.3,12.5

CreateMeshBuilder,,,
Cube,0.2,0.2,10
SetColor,200,210,220
GenerateNormals,,,
Translate,6.3,6.3,12.5

CreateMeshBuilder,,,
Cube,4.4,0.2,0.2
SetColor,200,210,220,
GenerateNormals,,,,
Translate,1.9,6.3,2.7,

CreateMeshBuilder,,,,
Cube,4.4,0.2,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Translate,1.9,6.3,22.3,

CreateMeshBuilder,,,,
Cube,5.06,0.2,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,0,1,0,28
Translate,1.9,6.3,5,

CreateMeshBuilder,,,,
Cube,5.06,0.2,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,0,1,0,-28
Translate,1.9,6.3,5,

CreateMeshBuilder,,,,
Cube,5.06,0.2,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,0,1,0,29.6
Translate,1.9,6.3,10,

CreateMeshBuilder,,,,
Cube,5.06,0.2,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,0,1,0,-29.6
Translate,1.9,6.3,10,

CreateMeshBuilder,,,,
Cube,5.06,0.2,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,0,1,0,29.6
Translate,1.9,6.3,15,

CreateMeshBuilder,,,,
Cube,5.06,0.2,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,0,1,0,-29.6
Translate,1.9,6.3,15,

CreateMeshBuilder,,,,
Cube,5.06,0.2,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,0,1,0,28
Translate,1.9,6.3,20,

CreateMeshBuilder,,,,
Cube,5.06,0.2,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,0,1,0,-28
Translate,1.9,6.3,20,

;;;;;‰¡,,,,
CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,20
Translate,-2.5,2.95,1.4,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,-19
Translate,-2.5,2.95,3.85,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
SetColor,200,210,220,
GenerateNormals,,,,
Rotate,1,0,0,20.5
Translate,-2.5,2.95,6.25,

CreateMeshBuilder,,,,
Cube,0.2,3.7,0.2,
