CreateMeshBuilder,
AddVertex,-0.95, -0.144, 0
AddVertex,-0.95, -0.144, 25.2
AddVertex,0.95, -0.144, 25.2
AddVertex,0.95, -0.144, 0
AddFace,0, 1, 2, 3
GenerateNormals
LoadTexture,SlabC.bmp,,,
SetColor,108,108,92,
SetTextureCoordinates,0, 0, 1
SetTextureCoordinates,1, 0, 0
SetTextureCoordinates,2, 1, 0
SetTextureCoordinates,3, 1, 1

CreateMeshBuilder,,,,
AddVertex,-0.95,-0.3,0,
AddVertex,-2.5,-0.35,0,
AddVertex,-2.5,-0.35,25.2,
AddVertex,-0.95,-0.3,25.2,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,Slab2.bmp,,,
SetColor,48,48,42,
SetTextureCoordinates,0,1,1,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,1,0,

CreateMeshBuilder,,,,
AddVertex,0.95,-0.3,0,
AddVertex,2.5,-0.35,0,
AddVertex,2.5,-0.35,25.2,
AddVertex,0.95,-0.3,25.2,
AddFace,3,2,1,0
GenerateNormals,,,,
SetColor,48,48,42,
LoadTexture,Slab2.bmp,,,
SetTextureCoordinates,0,1,1,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,1,0,

CreateMeshBuilder,,,,
AddVertex,-0.95,-0.14,25.2,
AddVertex,-0.95,-0.14,0.00,
AddVertex,-0.95,-0.30,0.00,
AddVertex,-0.95,-0.30,25.2,
AddFace,0,1,2,3
GenerateNormals,,,,
SetColor,48,48,42,
LoadTexture,Slab2.bmp,,,
SetTextureCoordinates,0,1,4,
SetTextureCoordinates,1,0,4,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,1,0,

CreateMeshBuilder,,,,
AddVertex,0.95,-0.14,25.2,
AddVertex,0.95,-0.14,0.00,
AddVertex,0.95,-0.30,0.00,
AddVertex,0.95,-0.30,25.2,
AddFace,3,2,1,0
GenerateNormals,,,,
SetColor,48,48,42,
LoadTexture,Slab2.bmp,,,
SetTextureCoordinates,0,1,4,
SetTextureCoordinates,1,0,4,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,1,0,

CreateMeshBuilder,
AddVertex,-0.602, 0, 0
AddVertex,-0.602, 0, 25.5
AddVertex,-0.534, 0, 25.5
AddVertex,-0.534, 0, 0
AddFace,0, 1, 2, 3
SetColor,128,128,128,
LoadTexture,Rail1.bmp
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,1,1,
SetTextureCoordinates,3,1,0,
GenerateNormals

CreateMeshBuilder,
AddVertex,0.534, 0, 0
AddVertex,0.534, 0, 25.5
AddVertex,0.602, 0, 25.5
AddVertex,0.602, 0, 0
AddFace,0, 1, 2, 3
SetColor,128,128,128,
LoadTexture,Rail1.bmp
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,1,1,
SetTextureCoordinates,3,1,0,
GenerateNormals


CreateMeshBuilder,
AddVertex,-0.012, 5.1, 0,
AddVertex,-0.012, 5.1, 25.2,
AddVertex,-0.024, 5.1, 25.2,
AddVertex,-0.024, 5.1, 0,
AddFace2,0,1,2,3,
SetColor,48,40,42,
GenerateNormals,

CreateMeshBuilder,
