CreateMeshBuilder;;;;estremità;;;;;;;;;;;;;
AddVertex,-1.4,3.4,-13.2;;;;0;;;;;;;;;;;;;
AddVertex,-1.35,3.475,-13.2;;;;1;;;;;;;;;;;;;
AddVertex,-1.2,3.7,-13.2;;;;2;;;;;;;;;;;;;
AddVertex,-0.8,3.8,-13.2;;;;3;;;;;;;;;;;;;
AddVertex,0.8,3.8,-13.2;;;;4;;;;;;;;;;;;;
AddVertex,1.2,3.7,-13.2;;;;5;;;;;;;;;;;;;
AddVertex,1.35,3.475,-13.2;;;;6;;;;;;;;;;;;;
AddVertex,1.4,3.4,-13.2;;;;7;;;;;;;;;;;;;
AddVertex,1.4,1.3,-13.2;;;;8;;;;;;;;;;;;;
AddVertex,-1.4,1.3,-13.2;;;;9;;;;;;;;;;;;;
AddFace,0,1,2,3,4,5,6,7,8,9,;;;;;;;;;;;;;;;;;
LoadTexture,prib2.bmp;;;;;;;;;;;;;;;;;
SetTextureCoordinates,7,0,0.025;;;;;;;;;;;;;;;;;
SetTextureCoordinates,0,1,0.025;;;;;;;;;;;;;;;;;
SetTextureCoordinates,9,1,1;;;;;;;;;;;;;;;;;
SetTextureCoordinates,8,0,1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
CreateMeshBuilder;;;;;;;;;;;;;;;;;
AddVertex,-1.4,3.4,13.2;;;0;;;;;;;;;;;;;;
AddVertex,-1.35,3.475,13.2;;;1;;;;;;;;;;;;;;
AddVertex,-1.2,3.7,13.2;;;2;;;;;;;;;;;;;;
AddVertex,-0.8,3.8,13.2;;;3;;;;;;;;;;;;;;
AddVertex,0.8,3.8,13.2;;;4;;;;;;;;;;;;;;
AddVertex,1.2,3.7,13.2;;;5;;;;;;;;;;;;;;
AddVertex,1.35,3.475,13.2;;;6;;;;;;;;;;;;;;
AddVertex,1.4,3.4,13.2;;;7;;;;;;;;;;;;;;
AddVertex,1.4,1.3,13.2;;;8;;;;;;;;;;;;;;
AddVertex,-1.4,1.3,13.2;;;9;;;;;;;;;;;;;;
AddFace2,0,9,8,7,6,5,4,3,2,1;;;;;;;;;;;;;;;;;
LoadTexture,prib3.bmp;;;;;;;;;;;;;;;;;
SetTextureCoordinates,7,0,0.025;;;;;;;;;;;;;;;;;
SetTextureCoordinates,0,1,0.025;;;;;;;;;;;;;;;;;
SetTextureCoordinates,9,1,1;;;;;;;;;;;;;;;;;
SetTextureCoordinates,8,0,1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
CreateMeshBuilder;;;tetto;;;;;;;;;;;;;;
AddVertex,-1.2,3.7,-13.2;;;0;;;;;;;;;;;;;;
AddVertex,-0.8,3.8,-13.2;;;1;;;;;;;;;;;;;;
AddVertex,0.8,3.8,-13.2;;;2;;;;;;;;;;;;;;
AddVertex,1.2,3.7,-13.2;;;3;;;;;;;;;;;;;;
AddVertex,-1.2,3.7,13.2;;;4;;;;;;;;;;;;;;
AddVertex,-0.8,3.8,13.2;;;5;;;;;;;;;;;;;;
AddVertex,0.8,3.8,13.2;;;6;;;;;;;;;;;;;;
AddVertex,1.2,3.7,13.2;;;7;;;;;;;;;;;;;;
AddFace,4,5,1,0;;;;;;;;;;;;;;;;;
AddFace,5,6,2,1;;;;;;;;;;;;;;;;;
AddFace,6,7,3,2;;;;;;;;;;;;;;;;;
LoadTexture,tetto.png;;;;;;;;;;;;;;;;;
SetTextureCoordinates,0,0,0;;;;;;;;;;;;;;;;;
SetTextureCoordinates,1,0.15,0;;;;;;;;;;;;;;;;;
SetTextureCoordinates,2,0.85,0;;;;;;;;;;;;;;;;;
SetTextureCoordinates,3,1,0;;;;;;;;;;;;;;;;;
SetTextureCoordinates,4,0,1;;;;;;;;;;;;;;;;;
SetTextureCoordinates,5,0.15,1;;;;;;;;;;;;;;;;;
SetTextureCoordinates,6,0.85,1;;;;;;;;;;;;;;;;;
SetTextureCoordinates,7,1,1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
CreateMeshBuilder;;;ricasco;;;;;;;;;;;;;;
AddVertex,1.2,3.7,13.2;;;0;;;;;;;;;;;;;;
AddVertex,1.2,3.7,-13.2;;;1;;;;;;;;;;;;;;
AddVertex,1.35,3.475,13.2;;;2;;;;;;;;;;;;;;
AddVertex,1.35,3.475,-13.2;;;3;;;;;;;;;;;;;;
AddVertex,1.4,3.4,13.2;;;4;;;;;;;;;;;;;;
AddVertex,1.4,3.4,-13.2;;;5;;;;;;;;;;;;;;
AddVertex,-1.2,3.7,-13.2;;;6;;;;;;;;;;;;;;
AddVertex,-1.2,3.7,13.2;;;7;;;;;;;;;;;;;;
AddVertex,-1.35,3.475,-13.2;;;8;;;;;;;;;;;;;;
AddVertex,-1.35,3.475,13.2;;;9;;;;;;;;;;;;;;
AddVertex,-1.4,3.4,-13.2;;;10;;;;;;;;;;;;;;
