CreateMeshBuilder,,,,
AddVertex,7,0.9,-1,
AddVertex,6,0.9,-1,
AddVertex,6,3.5,-1,
AddVertex,7,3.5,-1,
AddFace,0,1,2,3
GenerateNormals,,,,
SetColor,190,195,195

CreateMeshBuilder,,,,
AddVertex,6,3.5,-1,
AddVertex,6,3.5,0,
AddVertex,6,0.9,0,
AddVertex,6,0.9,-1,
AddFace,0,3,2,1
GenerateNormals,,,,
SetColor,190,195,195

CreateMeshBuilder,,,,
AddVertex,7,3.5,-1,
AddVertex,7,3.5,0,
AddVertex,7,0.9,0,
AddVertex,7,0.9,-1,
AddFace,0,3,2,1
GenerateNormals,,,,
SetColor,190,195,195


CreateMeshBuilder,,,,
AddVertex,5,0.9,-1,,
AddVertex,4,0.9,-1,,
AddVertex,4,2,-1,,
AddVertex,5,2,-1,,
AddVertex,5,2.5,-0.5,,
AddVertex,4,2.5,-0.5,,
AddFace,0,1,2,3,
AddFace,3,2,5,4,
GenerateNormals,,,,,
LoadTexture,kitsu.bmp,,,,
SetTextureCoordinates,0,0.85,1,,
SetTextureCoordinates,1,0.50,1,,
SetTextureCoordinates,2,0.50,0.6,,
SetTextureCoordinates,3,0.85,0.6,
SetTextureCoordinates,4,0.92,0.53,
SetTextureCoordinates,5,0.56,0.53,

CreateMeshBuilder,,,,,
AddVertex,4,0.9,-1,,
AddVertex,4,2,-1,,
AddVertex,4,2.5,-0.5,,
AddVertex,4,2,-0,,
AddVertex,4,0.9,-0,,
AddFace,0,4,3,2,1
GenerateNormals,,,,,
LoadTexture,kitsu.bmp,,,,
SetTextureCoordinates,0,0.85,1,,
SetTextureCoordinates,1,0.85,0.6,,
SetTextureCoordinates,2,0.92,0.53,,
SetTextureCoordinates,3,1,0.6
SetTextureCoordinates,4,1,1
